,community,id,members,attendAsembly,memOrg,income,monthInstall,primaryEd,secondaryEd,owner,yearsInHome,control,treatNoBonus,treatBonus,waterScarce,waterOK,houseType,age,numShowers,numSinks,numKitchen,showerTime,showerFreq,sinkTime,sinkFreq,kitchenTime,maxInstall,numInstalled,cleanShower,cleanKitchen,cleanSink,leaks,savings,sameFamily,totalDisadopt,partialDisadopt,noDisadopt,meanUsage,perCapitaUsage,kitchenExpectation,sinkExpectation,showerExpectation,cleanSum
86,31.0,31013.0,3.0,0.0,0.0,,6.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,1.0,4.0,58.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1,11.070175438596491,3.690058479532164,8.8,,8.8,0.0
87,31.0,31015.0,5.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0,1.0,73.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0,22.75438596491228,4.5508771929824565,5.0,,5.0,2.0
88,31.0,31016.0,3.0,0.0,0.0,,6.0,1.0,0.0,1.0,40.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,0.0,1.0,0.0,,,,,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1,33.80701754385965,11.269005847953217,,,,0.0
89,31.0,31017.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,39.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,0,18.0,4.5,2.0,4.8,4.8,3.0
93,31.0,31021.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0,19.29824561403509,9.649122807017545,9.0,9.0,9.0,3.0
94,31.0,31022.0,2.0,0.0,1.0,5.0,6.0,1.0,1.0,1.0,19.0,0.0,1.0,0.0,0.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0,24.45614035087719,12.228070175438596,2.8,2.5,3.2,3.0
95,31.0,31023.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,47.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0,12.982456140350877,3.245614035087719,9.0,9.0,9.0,3.0
100,31.0,31028.0,4.0,0.0,0.0,4.0,6.0,1.0,1.0,1.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,54.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1,24.12280701754386,6.030701754385965,4.300000000000001,7.7,5.4,2.0
106,31.0,31034.0,1.0,0.0,0.0,,6.0,1.0,0.0,1.0,60.0,0.0,0.0,1.0,0.0,1.0,1.0,60.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1,21.982456140350877,21.982456140350877,5.6,,5.6,1.0
107,31.0,31035.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,13.280701754385966,13.280701754385966,,9.0,9.0,2.0
108,31.0,31036.0,4.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,54.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1,24.105263157894736,6.026315789473684,,,5.0,1.0
110,31.0,31038.0,5.0,0.0,0.0,5.0,6.0,1.0,1.0,1.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,1,43.50877192982456,8.701754385964913,9.0,9.0,9.0,3.0
111,31.0,31039.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,98.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,1,27.210526315789473,9.070175438596491,3.0,,4.0,2.0
113,31.0,31042.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,70.0,0.0,0.0,1.0,0.0,1.0,1.0,70.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0,27.210526315789473,13.605263157894736,3.0,,2.0,0.0
117,31.0,31046.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,54.0,0.0,0.0,1.0,0.0,1.0,1.0,57.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0,21.526315789473685,7.175438596491229,,5.0,4.0,2.0
122,31.0,31051.0,7.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,1.0,63.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,8.228070175438596,1.175438596491228,,,2.0,1.0
123,31.0,31052.0,5.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,1.0,2.0,54.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,14.824561403508772,2.9649122807017543,5.3,5.3,5.3,3.0
134,31.0,31063.0,3.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0,10.280701754385966,3.426900584795322,4.6,3.7,2.5999999999999996,2.0
136,31.0,31065.0,4.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,73.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1,14.75438596491228,3.68859649122807,4.8,,4.8,1.0
138,31.0,31068.0,4.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0,17.551724137931036,4.387931034482759,,,3.0,0.0
139,31.0,31069.0,3.0,0.0,0.0,,6.0,1.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,20.36842105263158,6.7894736842105265,,,2.0,1.0
140,31.0,31070.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,45.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,1,26.350877192982455,6.587719298245614,5.1,6.8,6.1,2.0
141,31.0,31072.0,5.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,22.719298245614034,4.5438596491228065,2.5,,3.0,2.0
142,31.0,31073.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,72.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0,26.82456140350877,8.941520467836257,5.0,5.0,5.0,3.0
143,31.0,31074.0,2.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,42.0,0.0,0.0,1.0,0.0,1.0,1.0,64.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1,15.631578947368421,7.815789473684211,5.0,5.0,5.0,3.0
145,31.0,31076.0,2.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,35.0,0.0,1.0,0.0,0.0,1.0,1.0,68.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1,22.31578947368421,11.157894736842104,5.0,6.3999999999999995,4.0,3.0
146,31.0,31077.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,73.0,0.0,1.0,0.0,,,2.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1,20.19298245614035,10.096491228070175,,5.0,,0.0
147,31.0,31078.0,7.0,1.0,0.0,,6.0,1.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,71.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,26.17543859649123,3.7393483709273183,4.0,,2.0,2.0
148,31.0,31079.0,5.0,0.0,1.0,3.0,6.0,1.0,0.0,1.0,27.0,0.0,0.0,1.0,0.0,1.0,1.0,41.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0,30.964912280701753,6.192982456140351,3.3000000000000003,,3.3000000000000003,2.0
153,31.0,31085.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,54.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1,8.824561403508772,4.412280701754386,,,9.0,1.0
154,31.0,31086.0,2.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,26.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0,11.228070175438596,5.614035087719298,2.0,5.0,3.0,1.0
156,31.0,31088.0,1.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,27.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1,18.12280701754386,18.12280701754386,5.0,,5.0,2.0
159,31.0,31092.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,81.0,1.0,0.0,0.0,,,,,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1,11.947368421052632,5.973684210526316,,,,0.0
160,31.0,31093.0,3.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,70.0,0.0,1.0,0.0,0.0,1.0,1.0,67.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1,34.3859649122807,11.461988304093566,,,3.0,1.0
163,31.0,31097.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,75.0,0.0,1.0,1.0,,,3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,22.210526315789473,11.105263157894736,5.0,5.0,,2.0
164,31.0,31099.0,3.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,43.0,0.0,1.0,0.0,0.0,1.0,1.0,88.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,0,21.403508771929825,7.1345029239766085,3.0,3.0,3.0,3.0
165,31.0,31100.0,3.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,45.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1,24.894736842105264,8.298245614035087,9.0,9.0,9.0,3.0
166,31.0,31101.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,63.0,1.0,0.0,1.0,2.0,3.0,,,1.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,1,22.68421052631579,11.342105263157896,3.0,,7.0,2.0
172,31.0,31108.0,7.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,26.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0,37.31578947368421,5.330827067669174,3.7,,2.4000000000000004,2.0
173,31.0,31109.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,11.192982456140351,3.7309941520467835,,7.5,7.5,2.0
176,31.0,31112.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,70.0,0.0,1.0,1.0,,,3.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1,31.263157894736842,10.421052631578947,3.4,3.4,,1.0
183,31.0,31121.0,5.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,65.0,1.0,0.0,1.0,3.0,3.0,,,1.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1,15.035087719298245,3.007017543859649,5.5,,4.2,2.0
184,31.0,31122.0,7.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,1.0,57.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1,45.719298245614034,6.531328320802005,,,3.0,0.0
185,31.0,31123.0,2.0,1.0,0.0,4.0,6.0,1.0,1.0,1.0,40.0,0.0,1.0,0.0,0.0,1.0,1.0,70.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0,12.368421052631579,6.184210526315789,3.0,2.0,3.0,3.0
188,31.0,31127.0,4.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,28.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0,33.89473684210526,8.473684210526315,4.6,4.6,2.0,2.0
190,31.0,31129.0,5.0,1.0,1.0,,6.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,1.0,1.0,59.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0,29.63157894736842,5.926315789473684,3.0,3.0,3.0,2.0
193,31.0,31132.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,37.0,0.0,1.0,0.0,0.0,1.0,1.0,77.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1,18.035087719298247,9.017543859649123,,,9.0,1.0
194,31.0,31134.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,1.0,1.0,70.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1,15.807017543859649,15.807017543859649,3.0,,3.0,2.0
195,31.0,31135.0,3.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,53.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1,26.666666666666668,8.88888888888889,,,4.8,1.0
197,31.0,31137.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,39.0,0.0,1.0,0.0,0.0,1.0,1.0,65.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0,30.36842105263158,10.12280701754386,2.0,2.0,3.0,3.0
198,31.0,31138.0,5.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,26.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0,18.80701754385965,3.76140350877193,7.5,,5.5,2.0
199,31.0,31139.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,3.0,31.0,1.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,12.964912280701755,4.321637426900585,,,,0.0
202,31.0,31142.0,2.0,1.0,1.0,3.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,39.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1,11.052631578947368,5.526315789473684,,5.6,5.6,2.0
